log_n,witness_value,cumulative_max_witness_value
107.7176209387,1.7515197994,1.7515197994
109.7874005694,1.7517360865,1.7517360865
112.3523499269,1.7527459695,1.7527459695
117.0251787614,1.7539893074,1.7539893074
120.6179143549,1.7540805902,1.7540805902
121.0233794630,1.7542423005,1.7542423005
121.7165266436,1.7555914381,1.7555914381
125.7507672818,1.7557388541,1.7557388541
126.4439144623,1.7571834403,1.7571834403
131.2881015488,1.7573683823,1.7573683823
131.3594149709,1.6148716803,1.7573683823
136.1632988720,1.7576442196,1.7576442196
141.0832797978,1.7577763598,1.7577763598
146.0177537309,1.7582098230,1.7582098230
146.7109009115,1.7582594034,1.7582594034
150.9412325003,1.6791683970,1.7582594034
156.0389798737,1.7583130643,1.7583130643
156.7321270543,1.7584901609,1.7584901609
158.6780372033,1.7586043217,1.7586043217
161.7883728596,1.7586435000,1.7586435000
163.0411358281,1.7586606932,1.7586606932
163.3301459524,1.6740164931,1.7586606932
163.7342830087,1.7589166473,1.7589166473
168.8280332095,1.7591367562,1.7591367562
171.6612465535,1.7591773205,1.7591773205
172.5803129146,1.6789232176,1.7591773205
173.9460270219,1.7594257341,1.7594257341
176.7792403659,1.7596644021,1.7596644021
180.0270259574,1.7117609984,1.7596644021
181.9325319604,1.7600629367,1.7600629367
186.2922452031,1.6670579125,1.7600629367
187.1199177663,1.7603848309,1.7603848309
191.7172756033,1.6983034903,1.7603848309
192.3184147975,1.7608875816,1.7608875816
196.5110006918,1.7035245303,1.7608875816
197.5706882256,1.7610843879,1.7610843879
200.8204018909,1.6834713943,1.7610843879
202.8333784145,1.7614492726,1.7614492726
204.7341698682,1.7047489338,1.7614492726
208.1165821432,1.7618626851,1.7618626851
208.3271670405,1.6694984863,1.7618626851
211.6504747279,1.7180410434,1.7618626851
213.4098869680,1.7624238964,1.7624238964
214.7449901416,1.6847868284,1.7624238964
216.3543259471,1.7625585892,1.7625585892
217.6410016653,1.7133206287,1.7625585892
218.7617451014,1.7626363600,1.7626363600
220.3679550542,1.6864945627,1.7626363600
221.7061840806,1.7629003984,1.7629003984
222.8047963693,1.7629014642,1.7629014642
222.9414260374,1.7245102874,1.7629014642
225.3833596704,1.7257008368,1.7629014642
227.1133558521,1.7629410364,1.7629410364
227.7058635290,1.7250442740,1.7629410364
228.2119681407,1.7629873757,1.7629873757
229.9187941637,1.6783983267,1.7629873757
232.0365677165,1.7047057493,1.7629873757
232.5383058695,1.7630364612,1.7630364612
233.6369181582,1.7631258990,1.7631258990
234.0671879605,1.7363689588,1.7631258990
235.2463560706,1.7631669048,1.7631669048
236.0154384550,1.7296970654,1.7631669048
237.8897803534,1.7118539552,1.7631669048
237.9720278731,1.7632609685,1.7632609685
239.0706401618,1.7633914215,1.7633914215
239.6984923415,1.7313340724,1.7633914215
240.6800780742,1.7634917506,1.7634917506
241.4442845952,1.7241290720,1.7634917506
243.1305986093,1.7239069326,1.7634917506
243.4230663267,1.7635298248,1.7635298248
244.5216786153,1.7636994151,1.7636994151
244.7634783891,1.7141377760,1.7636994151
246.1311165278,1.7638563683,1.7638563683
246.3473007976,1.7101584382,1.7638563683
247.8841062892,1.7243841320,1.7638563683
249.3761278227,1.7302151002,1.7638563683
249.9981421673,1.7639741615,1.7639741615
250.8258554223,1.6736631251,1.7639741615
251.6075800797,1.7641852885,1.7641852885
252.2379126725,1.6871331393,1.7641852885
253.6142264789,1.7111437783,1.7641852885
254.9558562112,1.6918813903,1.7641852885
255.4829391007,1.7643587210,1.7643587210
255.9937647245,1.7643686315,1.7643686315
256.2643519821,1.6987916033,1.7643686315
256.6869119051,1.7643706122,1.7643706122
257.0923770132,1.7646215827,1.7646215827
257.5413399897,1.7140223270,1.7646215827
257.7855241937,1.7646278949,1.7646278949
258.7894632724,1.6966625996,1.7646278949
260.0106752493,1.7029468885,1.7646278949
261.2054135129,1.6907859333,1.7646278949
262.3749344624,1.6940937394,1.7646278949
262.6178299523,1.7648892239,1.7648892239
263.3109771329,1.7649167195,1.7649167195
263.5200123783,1.6914016977,1.7649167195
264.6416654211,1.6871532246,1.7649167195
265.7420301076,1.6963219349,1.7649167195
266.8221855432,1.7050095236,1.7649167195
267.8827190530,1.7209443993,1.7649167195
268.1669060372,1.7651310489,1.7651310489
268.8600532178,1.7651788583,1.7651788583
268.9241068367,1.7036850809,1.7651788583
269.9465846081,1.7093972145,1.7651788583
270.9512413048,1.6992248314,1.7651788583
271.9389782812,1.7118287628,1.7651788583
272.9102280723,1.7110875054,1.7651788583
273.7390600694,1.7653496787,1.7653496787
273.8665651714,1.6935099180,1.7653496787
274.4322072499,1.7654169804,1.7654169804
274.8080996668,1.7047988271,1.7654169804
275.7351648500,1.7138832783,1.7654169804
276.6477932912,1.6841978285,1.7654169804
277.5465738088,1.6919637805,1.7654169804
278.4320013089,1.7208162917,1.7654169804
279.3046719667,1.7346199051,1.7654169804
279.3337714490,1.7655474644,1.7655474644
280.0269186295,1.7656334817,1.7656334817
